application_id,applications,oralcomprehension,armhandsteadiness,auditoryattention,categoryflexibility,controlprecision,deductivereasoning,depthperception,dynamicflexibility,dynamicstrength,explosivestrength,extentflexibility,farvision,fingerdexterity,flexibilityofclosure,fluencyofideas,glaresensitivity,grossbodycoordination,grossbodyequilibrium,hearingsensitivity,inductivereasoning,informationordering,manualdexterity,mathematicalreasoning,memorization,multilimbcoordination,nearvision,nightvision,numberfacility,oralexpression,originality,perceptualspeed,peripheralvision,problemsensitivity,ratecontrol,reactiontime,responseorientation,selectiveattention,soundlocalization,spatialorientation,speechclarity,speechrecognition,speedofclosure,speedoflimbmovement,stamina,staticstrength,timesharing,trunkstrength,visualcolordiscrimination,visualization,wristfingerspeed,writtencomprehension,writtenexpression
1,abstract strategy games,0.6461538461538462,0.48205128205128206,0.6358974358974359,0.9025641025641026,0.717948717948718,0.8769230769230769,0.6871794871794872,0.37435897435897436,0.29743589743589743,0.3230769230769231,0.3384615384615385,0.48205128205128206,0.5846153846153846,0.9025641025641026,0.7589743589743589,0.4717948717948718,0.37435897435897436,0.35384615384615387,0.5435897435897435,0.8769230769230769,0.9692307692307692,0.558974358974359,0.8923076923076924,0.9179487179487179,0.4717948717948718,0.6974358974358974,0.46153846153846156,0.8871794871794871,0.6205128205128205,0.6974358974358974,0.8666666666666667,0.5384615384615384,0.8769230769230769,0.717948717948718,0.7128205128205128,0.7794871794871795,0.8769230769230769,0.5846153846153846,0.8256410256410256,0.5897435897435898,0.6564102564102564,0.9025641025641026,0.39487179487179486,0.3487179487179487,0.3128205128205128,0.7743589743589744,0.28205128205128205,0.8,0.8769230769230769,0.5230769230769231,0.5641025641025641,0.5641025641025641
2,real-time video games,0.6958762886597938,0.6752577319587629,0.7938144329896907,0.8556701030927835,0.9175257731958762,0.8556701030927835,0.8041237113402062,0.4948453608247423,0.39690721649484534,0.39690721649484534,0.4484536082474227,0.6907216494845361,0.7371134020618557,0.8969072164948454,0.654639175257732,0.711340206185567,0.5,0.4536082474226804,0.8195876288659794,0.7422680412371134,0.9226804123711341,0.6958762886597938,0.7989690721649485,0.8762886597938144,0.6443298969072165,0.8608247422680413,0.6958762886597938,0.8247422680412371,0.6391752577319587,0.5670103092783505,0.8969072164948454,0.7680412371134021,0.8092783505154639,0.8917525773195877,0.8711340206185567,0.8969072164948454,0.8608247422680413,0.7938144329896907,0.8814432989690721,0.6443298969072165,0.8298969072164949,0.8762886597938144,0.6030927835051546,0.42783505154639173,0.35051546391752575,0.8350515463917526,0.30927835051546393,0.9381443298969072,0.8041237113402062,0.7371134020618557,0.5927835051546392,0.5515463917525774
3,image recognition,0.37373737373737376,0.4444444444444444,0.46464646464646464,0.7676767676767676,0.6666666666666666,0.6464646464646465,0.8636363636363636,0.37373737373737376,0.31313131313131315,0.35353535353535354,0.37373737373737376,0.8888888888888888,0.48484848484848486,0.8232323232323232,0.48484848484848486,0.8484848484848485,0.42424242424242425,0.4393939393939394,0.42424242424242425,0.6868686868686869,0.8737373737373737,0.4393939393939394,0.6161616161616161,0.8333333333333334,0.4595959595959596,0.9141414141414141,0.8585858585858586,0.6717171717171717,0.4393939393939394,0.3888888888888889,0.8484848484848485,0.7727272727272727,0.6161616161616161,0.6262626262626263,0.702020202020202,0.7070707070707071,0.7474747474747475,0.47474747474747475,0.8939393939393939,0.4494949494949495,0.4696969696969697,0.8282828282828283,0.3888888888888889,0.32323232323232326,0.37373737373737376,0.5707070707070707,0.30303030303030304,0.9343434343434344,0.8484848484848485,0.4494949494949495,0.5656565656565656,0.4797979797979798
4,visual question answering,0.5606060606060606,0.4898989898989899,0.5353535353535354,0.8131313131313131,0.7929292929292929,0.7373737373737373,0.8383838383838383,0.3939393939393939,0.3787878787878788,0.40404040404040403,0.36363636363636365,0.8535353535353535,0.5202020202020202,0.8585858585858586,0.6363636363636364,0.8131313131313131,0.4393939393939394,0.43434343434343436,0.5454545454545454,0.6868686868686869,0.9343434343434344,0.5,0.8080808080808081,0.8838383838383839,0.4898989898989899,0.9090909090909091,0.8434343434343434,0.8333333333333334,0.5505050505050505,0.3888888888888889,0.8737373737373737,0.7474747474747475,0.7222222222222222,0.6919191919191919,0.6919191919191919,0.696969696969697,0.8080808080808081,0.5757575757575758,0.8939393939393939,0.5454545454545454,0.6111111111111112,0.8232323232323232,0.4797979797979798,0.3838383838383838,0.4090909090909091,0.702020202020202,0.3686868686868687,0.9393939393939394,0.8131313131313131,0.46464646464646464,0.6666666666666666,0.6212121212121212
5,generating images,0.40512820512820513,0.3435897435897436,0.3333333333333333,0.7538461538461538,0.5846153846153846,0.6256410256410256,0.8153846153846154,0.31794871794871793,0.2717948717948718,0.24102564102564103,0.27692307692307694,0.7333333333333333,0.41025641025641024,0.7794871794871795,0.5846153846153846,0.7435897435897436,0.3487179487179487,0.30256410256410254,0.3282051282051282,0.6461538461538462,0.8769230769230769,0.4,0.5897435897435898,0.7743589743589744,0.3282051282051282,0.764102564102564,0.6666666666666666,0.5025641025641026,0.36923076923076925,0.676923076923077,0.764102564102564,0.7230769230769231,0.5487179487179488,0.5333333333333333,0.558974358974359,0.6564102564102564,0.6564102564102564,0.3435897435897436,0.7897435897435897,0.35384615384615387,0.37948717948717947,0.7589743589743589,0.31794871794871793,0.2717948717948718,0.24102564102564103,0.5435897435897435,0.2205128205128205,0.9025641025641026,0.9333333333333333,0.3641025641025641,0.4717948717948718,0.4666666666666667
6,reading comprehension,0.6927083333333334,0.19791666666666666,0.421875,0.8177083333333334,0.3854166666666667,0.8697916666666666,0.3385416666666667,0.19791666666666666,0.1875,0.20833333333333334,0.18229166666666666,0.328125,0.24479166666666666,0.75,0.7708333333333334,0.3385416666666667,0.19270833333333334,0.171875,0.3854166666666667,0.84375,0.9166666666666666,0.21354166666666666,0.6927083333333334,0.9322916666666666,0.19791666666666666,0.40625,0.2916666666666667,0.6354166666666666,0.6822916666666666,0.6145833333333334,0.7552083333333334,0.3072916666666667,0.6927083333333334,0.2864583333333333,0.359375,0.4322916666666667,0.8229166666666666,0.3541666666666667,0.359375,0.609375,0.6354166666666666,0.7916666666666666,0.19791666666666666,0.19791666666666666,0.21354166666666666,0.5989583333333334,0.20833333333333334,0.4427083333333333,0.5572916666666666,0.21354166666666666,0.9114583333333334,0.8333333333333334
7,language modeling,0.9057591623036649,0.193717277486911,0.8219895287958116,0.7591623036649214,0.3403141361256545,0.8010471204188482,0.28272251308900526,0.17801047120418848,0.21465968586387435,0.17277486910994763,0.16753926701570682,0.24607329842931938,0.21465968586387435,0.6858638743455497,0.7172774869109948,0.2094240837696335,0.17277486910994763,0.17801047120418848,0.743455497382199,0.7853403141361257,0.8481675392670157,0.20418848167539266,0.4607329842931937,0.8586387434554974,0.16230366492146597,0.27225130890052357,0.23036649214659685,0.4973821989528796,0.9057591623036649,0.5916230366492147,0.680628272251309,0.24083769633507854,0.5916230366492147,0.3089005235602094,0.3717277486910995,0.49214659685863876,0.612565445026178,0.643979057591623,0.3507853403141361,0.9267015706806283,0.9528795811518325,0.680628272251309,0.16753926701570682,0.19895287958115182,0.20418848167539266,0.6544502617801047,0.17277486910994763,0.2931937172774869,0.3507853403141361,0.19895287958115182,0.8272251308900523,0.8481675392670157
8,translation,0.8870967741935484,0.1935483870967742,0.7419354838709677,0.6881720430107527,0.3064516129032258,0.7473118279569892,0.26881720430107525,0.17204301075268819,0.1827956989247312,0.1827956989247312,0.1935483870967742,0.2903225806451613,0.1935483870967742,0.6720430107526881,0.5967741935483871,0.27956989247311825,0.20967741935483872,0.21505376344086022,0.6612903225806451,0.7096774193548387,0.8924731182795699,0.1881720430107527,0.46774193548387094,0.8494623655913979,0.20430107526881722,0.3225806451612903,0.23655913978494625,0.4946236559139785,0.8602150537634409,0.4838709677419355,0.6720430107526881,0.26344086021505375,0.5161290322580645,0.3118279569892473,0.3602150537634409,0.43548387096774194,0.6559139784946236,0.5376344086021505,0.3118279569892473,0.8548387096774194,0.8763440860215054,0.7473118279569892,0.1935483870967742,0.20967741935483872,0.1827956989247312,0.6236559139784946,0.1881720430107527,0.3387096774193548,0.3924731182795699,0.21505376344086022,0.8817204301075269,0.8548387096774194
9,speech recognition,0.8901098901098901,0.23076923076923078,0.9065934065934066,0.6263736263736264,0.41208791208791207,0.6043956043956044,0.31868131868131866,0.21428571428571427,0.22527472527472528,0.1813186813186813,0.1813186813186813,0.2967032967032967,0.21978021978021978,0.6978021978021978,0.554945054945055,0.25824175824175827,0.17582417582417584,0.19230769230769232,0.8626373626373627,0.6538461538461539,0.8076923076923077,0.18681318681318682,0.510989010989011,0.8076923076923077,0.24175824175824176,0.2692307692307692,0.22527472527472528,0.5439560439560439,0.8296703296703297,0.4340659340659341,0.6483516483516484,0.23626373626373626,0.5604395604395604,0.34065934065934067,0.521978021978022,0.510989010989011,0.6923076923076923,0.7912087912087912,0.41208791208791207,0.8681318681318682,0.978021978021978,0.7417582417582418,0.2087912087912088,0.1978021978021978,0.2087912087912088,0.6648351648351648,0.1978021978021978,0.2802197802197802,0.33516483516483514,0.21428571428571427,0.5879120879120879,0.7032967032967034
10,instrumental track recognition,0.6042780748663101,0.2192513368983957,0.9358288770053476,0.6844919786096256,0.3689839572192513,0.4919786096256685,0.33689839572192515,0.18181818181818182,0.20320855614973263,0.17647058823529413,0.18716577540106952,0.28342245989304815,0.24064171122994651,0.7486631016042781,0.37967914438502676,0.2620320855614973,0.22994652406417113,0.2192513368983957,0.8823529411764706,0.4919786096256685,0.732620320855615,0.20855614973262032,0.44919786096256686,0.6524064171122995,0.22459893048128343,0.28342245989304815,0.26737967914438504,0.39037433155080214,0.45989304812834225,0.3422459893048128,0.5989304812834224,0.2620320855614973,0.44385026737967914,0.4919786096256685,0.4919786096256685,0.5935828877005348,0.7165775401069518,0.893048128342246,0.37433155080213903,0.5882352941176471,0.7486631016042781,0.6951871657754011,0.20855614973262032,0.22994652406417113,0.20855614973262032,0.6417112299465241,0.17647058823529413,0.29411764705882354,0.31016042780748665,0.2192513368983957,0.35294117647058826,0.3155080213903743
